adduser 3.118ubuntu5
landscape-common 23.02-0ubuntu1~22.04.3
less 590-1ubuntu0.22.04.3
libacl1 2.3.1-1
libaec0 1.0.6-1
libaio1 0.3.112-13build1
libaom3 3.3.0-1
libaopalliance-java 20070526-6
libapache-pom-java 18-1
libapparmor1 3.0.4-2ubuntu2.4
libappstream4 0.15.2-2
libapr1 1.7.0-8ubuntu0.22.04.2
libaprutil1 1.6.1-5ubuntu4.22.04.2
libapt-pkg6.0 2.4.13
libarchive13 3.6.0-1ubuntu1.1
libargon2-1 0~20171227-0.3
libarmadillo10 1:10.8.2+dfsg-1
libarpack2 3.8.0-1
libasan6 11.4.0-1ubuntu1~22.04
libasound2 1.2.6.1-1ubuntu1
libasound2-data 1.2.6.1-1ubuntu1
libassuan0 2.5.5-1build1
libatasmart4 0.19-5build2
libatinject-jsr330-api-java 1.0+ds1-5
libatm1 1:2.5.1-4build2
libatomic1 12.3.0-1ubuntu1~22.04
libattr1 1:2.5.1-1build1
libaudit-common 1:3.0.7-1build1
libaudit1 1:3.0.7-1build1
libavahi-client3 0.8-5ubuntu5.2
libavahi-common-data 0.8-5ubuntu5.2
libavahi-common3 0.8-5ubuntu5.2
libbinutils 2.38-4ubuntu2.6
libbison-dev 2:3.8.2+dfsg-1build1
libblas3 3.10.0-2ubuntu1
libblkid1 2.37.2-4ubuntu3.4
libblockdev-crypto2 2.26-1
libblockdev-fs2 2.26-1
libblockdev-loop2 2.26-1
libblockdev-part-err2 2.26-1
libblockdev-part2 2.26-1
libblockdev-swap2 2.26-1
libblockdev-utils2 2.26-1
libblockdev2 2.26-1
libblosc1 1.21.1+ds2-2
libboost-serialization1.74.0 1.74.0-14ubuntu3
libbpf0 1:0.5.0-1ubuntu22.04.1
libbrotli-dev 1.0.9-2build6
libbrotli1 1.0.9-2build6
libbsd0 0.11.5-1
libbz2-1.0 1.0.8-5build1
libbz2-dev 1.0.8-5build1
libc-bin 2.35-0ubuntu3.8
libc-client2007e 8:2007f~dfsg-7build1
libc-client2007e-dev 8:2007f~dfsg-7build1
libc-dev-bin 2.35-0ubuntu3.8
libc6 2.35-0ubuntu3.8
libc6-dev 2.35-0ubuntu3.8
libcap-ng0 0.7.9-2.2build3
libcap2 1:2.44-1ubuntu0.22.04.1
libcap2-bin 1:2.44-1ubuntu0.22.04.1
libcbor0.8 0.8.0-2ubuntu1
libcc1-0 12.3.0-1ubuntu1~22.04
libcdi-api-java 1.2-3
libcfitsio9 4.0.0-1
libcgi-fast-perl 1:2.15-1
libcgi-pm-perl 4.54-1
libcharls2 2.3.4-1
libclang-common-14-dev 1:14.0.0-1ubuntu1.1
libclang-cpp14 1:14.0.0-1ubuntu1.1
libclang1-14 1:14.0.0-1ubuntu1.1
libclone-perl 0.45-1build3
libcom-err2 1.46.5-2ubuntu1.2
libcommons-cli-java 1.4-2
libcommons-io-java 2.11.0-2
libcommons-lang3-java 3.11-1
libcommons-parent-java 43-1
libcrypt-dev 1:4.4.27-1
libcrypt1 1:4.4.27-1
libcryptsetup12 2:2.4.3-1ubuntu1.2
libctf-nobfd0 2.38-4ubuntu2.6
libctf0 2.38-4ubuntu2.6
libcups2 2.4.1op1-1ubuntu4.11
libcurl3-gnutls 7.81.0-1ubuntu1.18
libcurl4 7.81.0-1ubuntu1.18
libcurl4-openssl-dev 7.81.0-1ubuntu1.18
libdav1d5 0.9.2-1
libdb5.3 5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3 1.12.20-2ubuntu4.1
libde265-0 1.0.8-1ubuntu0.3
libdebconfclient0 0.261ubuntu1
libdeflate0 1.10-2
libdevmapper-event1.02.1 2:1.02.175-2.1ubuntu4
libdevmapper1.02.1 2:1.02.175-2.1ubuntu4
libdns-export1110 1:9.11.19+dfsg-2.1ubuntu3
libdpkg-perl 1.21.1ubuntu2.3
libdrm-common 2.4.113-2~ubuntu0.22.04.1
libdrm2 2.4.113-2~ubuntu0.22.04.1
libdw1 0.186-1build1
libeatmydata1 130-2build1
libedit2 3.1-20210910-1build1
libelf1 0.186-1build1
libencode-locale-perl 1.05-1.1
liberror-perl 0.17029-1
libevent-core-2.1-7 2.1.12-stable-1build3
libevent-pthreads-2.1-7 2.1.12-stable-1build3
libexpat1 2.4.7-1ubuntu0.4
libexpat1-dev 2.4.7-1ubuntu0.4
libext2fs2 1.46.5-2ubuntu1.2
libfcgi-bin 2.4.2-2build2
libfcgi-perl 0.82+ds-1build1
libfcgi0ldbl 2.4.2-2build2
libfdisk1 2.37.2-4ubuntu3.4
libffi-dev 3.4.2-4
libffi8 3.4.2-4
libfido2-1 1.10.0-1
libfl-dev 2.6.4-8build2
libfl2 2.6.4-8build2
libflashrom1 1.2-5build1
libfontconfig-dev 2.13.1-4.2ubuntu5
libfontconfig1 2.13.1-4.2ubuntu5
libfontconfig1-dev 2.13.1-4.2ubuntu5
libfreetype-dev 2.11.1+dfsg-1ubuntu0.2
libfreetype6 2.11.1+dfsg-1ubuntu0.2
libfreetype6-dev 2.11.1+dfsg-1ubuntu0.2
libfreexl1 1.0.6-1
libfribidi0 1.0.8-2ubuntu3.1
libftdi1-2 1.5-5build3
libfuse2 2.9.9-5ubuntu3
libfuse3-3 3.10.5-1build1
libfwupd2 1.7.9-1~22.04.3
libfwupdplugin5 1.7.9-1~22.04.3
libfyba0 4.1.1-7
libgc1 1:8.0.6-1.1build1
libgcab-1.0-0 1.4-3build2
libgcc-11-dev 11.4.0-1ubuntu1~22.04
libgcc-s1 12.3.0-1ubuntu1~22.04
libgcrypt20 1.9.4-3ubuntu3
libgdal30 3.4.1+dfsg-1build4
libgdbm-compat4 1.23-1
libgdbm-dev 1.23-1
libgdbm6 1.23-1
libgeos++-dev 3.10.2-1
libgeos-c1v5 3.10.2-1
libgeos-dev 3.10.2-1
libgeos3.10.2 3.10.2-1
libgeotiff5 1.7.0-2build1
libgeronimo-annotation-1.3-spec-java 1.3-1
libgeronimo-interceptor-3.0-spec-java 1.0.1-4fakesync
libgfortran5 12.3.0-1ubuntu1~22.04
libgif7 5.1.9-2ubuntu0.1
libgirepository-1.0-1 1.72.0-1
libglib2.0-0 2.72.4-0ubuntu2.3
libglib2.0-bin 2.72.4-0ubuntu2.3
libglib2.0-data 2.72.4-0ubuntu2.3
libgmp-dev 2:6.2.1+dfsg-3ubuntu1
libgmp10 2:6.2.1+dfsg-3ubuntu1
libgmpxx4ldbl 2:6.2.1+dfsg-3ubuntu1
libgnutls30 3.7.3-4ubuntu1.5
libgomp1 12.3.0-1ubuntu1~22.04
libgpg-error0 1.43-3
libgpgme11 1.16.0-1.2ubuntu4.2
libgpm2 1.20.7-10build1
libgssapi-krb5-2 1.19.2-2ubuntu0.4
libgssrpc4 1.19.2-2ubuntu0.4
libgstreamer1.0-0 1.20.3-0ubuntu1
libguava-java 29.0-6
libgudev-1.0-0 1:237-2build1
libguice-java 4.2.3-2
libgusb2 0.3.10-1
libhawtjni-runtime-java 1.17-1
libhdf4-0-alt 4.2.15-4
libhdf5-103-1 1.10.7+repack-4ubuntu2
libhdf5-hl-100 1.10.7+repack-4ubuntu2
libheif1 1.12.0-2build1
libhiredis0.14 0.14.1-2
libhogweed6 3.7.3-1build2
libhtml-parser-perl 3.76-1build2
libhtml-tagset-perl 3.20-4
libhtml-template-perl 2.97-1.1
libhttp-date-perl 6.05-1
libhttp-message-perl 6.36-1
libicu-dev 70.1-2
libicu70 70.1-2
libidn2-0 2.3.2-2build1
libinih1 53-1ubuntu3
libintl-perl 1.26-3build2
libintl-xs-perl 1.26-3build2
libio-html-perl 1.004-2
libip4tc2 1.8.7-1ubuntu5.2
libip6tc2 1.8.7-1ubuntu5.2
libisc-export1105 1:9.11.19+dfsg-2.1ubuntu3
libisl23 0.24-2build1
libisns0 0.101-0ubuntu2
libitm1 12.3.0-1ubuntu1~22.04
libjansi-java 1.18-1
libjansi-native-java 1.8-1
libjansson4 2.13.1-1.1build3
libjbig0 2.1-3.1ubuntu0.22.04.1
libjcat1 0.1.9-1
libjemalloc2 5.2.1-4ubuntu1
libjpeg-dev 8c-2ubuntu10
libjpeg-turbo8 2.1.2-0ubuntu1
libjpeg-turbo8-dev 2.1.2-0ubuntu1
libjpeg8 8c-2ubuntu10
libjpeg8-dev 8c-2ubuntu10
libjs-jquery 3.6.0+dfsg+~3.5.13-1
libjs-sphinxdoc 4.3.2-1
libjs-underscore 1.13.2~dfsg-2
libjson-c5 0.15-3~ubuntu1.22.04.2
libjson-glib-1.0-0 1.6.6-1build1
libjson-glib-1.0-common 1.6.6-1build1
libjson-perl 4.04000-1
libjsoncpp25 1.9.5-3
libjsr305-java 0.1~+svn49-11
libk5crypto3 1.19.2-2ubuntu0.4
libkadm5clnt-mit12 1.19.2-2ubuntu0.4
libkadm5srv-mit12 1.19.2-2ubuntu0.4
libkdb5-10 1.19.2-2ubuntu0.4
libkeyutils1 1.6.1-2ubuntu3
libklibc 2.0.10-4ubuntu0.1
libkmlbase1 1.3.0-9
libkmldom1 1.3.0-9
libkmlengine1 1.3.0-9
libkmod2 29-1ubuntu1
libkrb5-3 1.19.2-2ubuntu0.4
libkrb5-dev 1.19.2-2ubuntu0.4
libkrb5support0 1.19.2-2ubuntu0.4
libksba8 1.6.0-2ubuntu0.2
liblapack3 3.10.0-2ubuntu1
liblcms2-2 2.12~rc1-2build2
libldap-2.5-0 2.5.18+dfsg-0ubuntu0.22.04.2
libldap-common 2.5.18+dfsg-0ubuntu0.22.04.2
libldap-dev 2.5.18+dfsg-0ubuntu0.22.04.2
libldap2-dev 2.5.18+dfsg-0ubuntu0.22.04.2
libldb-dev 2:2.4.4-0ubuntu0.22.04.2
libldb2 2:2.4.4-0ubuntu0.22.04.2
libllvm14 1:14.0.0-1ubuntu1.1
libllvm15 1:15.0.7-0ubuntu0.22.04.3
liblmdb0 0.9.24-1build2
liblocale-gettext-perl 1.07-4build3
liblsan0 12.3.0-1ubuntu1~22.04
libltdl7 2.4.6-15build2
liblua5.1-0 5.1.5-8.1build4
liblvm2cmd2.03 2.03.11-2.1ubuntu4
liblwp-mediatypes-perl 6.04-1
liblz4-1 1.9.3-2build2
liblzf1 3.6-3
liblzma-dev 5.2.5-2ubuntu1
liblzma5 5.2.5-2ubuntu1
liblzo2-2 2.10-2build3
libmagic-mgc 1:5.41-3ubuntu0.1
libmagic1 1:5.41-3ubuntu0.1
libmaven-parent-java 31-2
libmaven-resolver-java 1.4.2-3build1
libmaven-shared-utils-java 3.3.0-1ubuntu0.22.04.1
libmaven3-core-java 3.6.3-5
libmaxminddb0 1.5.2-1build2
libmbim-glib4 1.28.0-1~ubuntu20.04.1
libmbim-proxy 1.28.0-1~ubuntu20.04.1
libmcrypt-dev 2.5.8-7
libmcrypt4 2.5.8-7
libmd0 1.0.4-1build1
libmecab2 0.996-14build9
libminizip1 1.1-8build1
libmm-glib0 1.20.0-1~ubuntu22.04.4
libmnl0 1.0.4-3build2
libmodule-find-perl 0.15-1
libmodule-scandeps-perl 1.31-1
libmount1 2.37.2-4ubuntu3.4
libmpc3 1.2.1-2build1
libmpdec3 2.5.1-2build2
libmpfr6 4.1.0-3build3
libmysqlclient-dev 8.0.39-0ubuntu0.22.04.1
libmysqlclient21 8.0.39-0ubuntu0.22.04.1
libncurses-dev 6.3-2ubuntu0.1
libncurses5-dev 6.3-2ubuntu0.1
libncurses6 6.3-2ubuntu0.1
libncursesw6 6.3-2ubuntu0.1
libnetcdf19 1:4.8.1-1
libnetfilter-conntrack3 1.0.9-1
libnetplan0 0.106.1-7ubuntu0.22.04.4
libnettle8 3.7.3-1build2
libnewt0.52 0.52.21-5ubuntu2
libnfnetlink0 1.0.1-3build3
libnftables1 1.0.2-1ubuntu3
libnftnl11 1.2.1-1build1
libnghttp2-14 1.43.0-1ubuntu0.2
libnl-3-200 3.5.0-0.1
libnl-genl-3-200 3.5.0-0.1
libnpth0 1.6-3build2
libnsl-dev 1.3.0-2build2
libnsl2 1.3.0-2build2
libnspr4 2:4.35-0ubuntu0.22.04.1
libnss-systemd 249.11-0ubuntu3.12
libnss3 2:3.98-0ubuntu0.22.04.2
libnuma1 2.0.14-3ubuntu2
libobjc-11-dev 11.4.0-1ubuntu1~22.04
libobjc4 12.3.0-1ubuntu1~22.04
libodbc2 2.3.9-5ubuntu0.1
libodbcinst2 2.3.9-5ubuntu0.1
libogdi4.1 4.1.0+ds-5
libopeniscsiusr 2.1.5-1ubuntu1
libopenjp2-7 2.4.0-6ubuntu0.1
libp11-kit0 0.24.0-6build1
libpackagekit-glib2-18 1.2.5-2ubuntu2
libpam-cap 1:2.44-1ubuntu0.22.04.1
libpam-modules 1.4.0-11ubuntu2.4
libpam-modules-bin 1.4.0-11ubuntu2.4
libpam-runtime 1.4.0-11ubuntu2.4
libpam-systemd 249.11-0ubuntu3.12
libpam0g 1.4.0-11ubuntu2.4
libpam0g-dev 1.4.0-11ubuntu2.4
libparted-fs-resize0 3.4-2build1
libparted2 3.4-2build1
libpcap0.8 1.10.1-4ubuntu1.22.04.1
libpci3 1:3.7.0-6
libpcre2-8-0 10.39-3ubuntu0.1
libpcre3 2:8.39-13ubuntu0.22.04.1
libpcsclite1 1.9.5-3ubuntu1
libperl5.34 5.34.0-3ubuntu1.3
libpfm4 4.11.1+git32-gd0b85fb-1ubuntu0.1
libpipeline1 1.5.5-1
libplexus-cipher-java 1.8-2
libplexus-classworlds-java 2.6.0-1
libplexus-component-annotations-java 2.1.0-1
libplexus-interpolation-java 1.26-1
libplexus-sec-dispatcher-java 1.4-4
libplexus-utils2-java 3.3.0-1
libplymouth5 0.9.5+git20211018-1ubuntu3
libpng-dev 1.6.37-3build5
libpng16-16 1.6.37-3build5
libpolkit-agent-1-0 0.105-33
libpolkit-gobject-1-0 0.105-33
libpoppler118 22.02.0-2ubuntu0.5
libpopt0 1.18-3build1
libpq-dev 17.0-1.pgdg22.04+1
libpq5 17.0-1.pgdg22.04+1
libproc-processtable-perl 0.634-1build1
libprocps8 2:3.3.17-6ubuntu2.1
libproj22 8.2.1-1
libprotobuf-c1 1.3.3-1ubuntu2.1
libprotobuf-lite23 3.12.4-1ubuntu7.22.04.1
libpsl5 0.21.0-1.2build2
libpthread-stubs0-dev 0.4-1build2
libpython3-dev 3.10.6-1~22.04.1
libpython3-stdlib 3.10.6-1~22.04.1
libpython3.10 3.10.12-1~22.04.6
libpython3.10-dev 3.10.12-1~22.04.6
libpython3.10-minimal 3.10.12-1~22.04.6
libpython3.10-stdlib 3.10.12-1~22.04.6
libqhull-r8.0 2020.2-4
libqmi-glib5 1.32.0-1ubuntu0.22.04.1
libqmi-proxy 1.32.0-1ubuntu0.22.04.1
libquadmath0 12.3.0-1ubuntu1~22.04
libreadline-dev 8.1.2-1
libreadline8 8.1.2-1
librhash0 1.4.2-1ubuntu1
librtas2 2.0.0-2build2
librtasevent2 2.0.0-2build2
librtmp1 2.4+20151223.gitfa8646d.1-2build4
librttopo1 1.1.0-2
libruby3.0 3.0.2-7ubuntu2.7
libsasl2-2 2.1.27+dfsg2-3ubuntu1.2
libsasl2-dev 2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules 2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db 2.1.27+dfsg2-3ubuntu1.2
libseccomp2 2.5.3-2ubuntu2
libselinux1 3.3-1build2
libsemanage-common 3.3-1build2
libsemanage2 3.3-1build2
libsepol2 3.3-1build1
libserf-1-1 1.3.9-10ubuntu2
libservicelog-1.1-1 1.1.18+git20200625.a143646-1build2
libsfcgal1 1.4.1-1
libsgutils2-2 1.46-1ubuntu0.22.04.1
libsigsegv2 2.13-1ubuntu3
libsisu-inject-java 0.3.4-2
libsisu-plexus-java 0.3.4-3
libslang2 2.3.2-5build4
libslf4j-java 1.7.32-1
libsmartcols1 2.37.2-4ubuntu3.4
libsnappy1v5 1.1.8-1build3
libsodium23 1.0.18-1build2
libsort-naturally-perl 1.03-2
libspatialite7 5.0.1-2build2
libsqlite0 2.8.17-15fakesync1build1
libsqlite3-0 3.37.2-2ubuntu0.3
libsqlite3-dev 3.37.2-2ubuntu0.3
libss2 1.46.5-2ubuntu1.2
libssh-4 0.9.6-2ubuntu0.22.04.3
libssh2-1 1.10.0-3
libssl-dev 3.0.2-0ubuntu1.18
libssl3 3.0.2-0ubuntu1.18
libstd-rust-1.75 1.75.0+dfsg0ubuntu1~bpo0-0ubuntu0.22.04
libstd-rust-dev 1.75.0+dfsg0ubuntu1~bpo0-0ubuntu0.22.04
libstdc++-11-dev 11.4.0-1ubuntu1~22.04
libstdc++6 12.3.0-1ubuntu1~22.04
libstemmer0d 2.2.0-1build1
libsuperlu5 5.3.0+dfsg1-2
libsvn1 1.14.1-3ubuntu0.22.04.1
libsystemd-dev 249.11-0ubuntu3.12
libsystemd0 249.11-0ubuntu3.12
libsz2 1.0.6-1
libtalloc-dev 2.3.3-2build1
libtalloc2 2.3.3-2build1
libtasn1-6 4.18.0-4build1
libtcl8.6 8.6.12+dfsg-1build1
libtdb-dev 1.4.5-2build1
libtdb1 1.4.5-2build1
libterm-readkey-perl 2.38-1build4
libtevent-dev 0.11.0-1build1
libtevent0 0.11.0-1build1
libtext-charwidth-perl 0.04-10build3
libtext-iconv-perl 1.7-7build3
libtext-wrapi18n-perl 0.06-9
libtidy-dev 2:5.6.0-11ubuntu0.22.04.1
libtidy5deb1 2:5.6.0-11ubuntu0.22.04.1
libtiff5 4.3.0-6ubuntu0.10
libtimedate-perl 2.3300-2
libtinfo6 6.3-2ubuntu0.1
libtirpc-common 1.3.2-2ubuntu0.1
libtirpc-dev 1.3.2-2ubuntu0.1
libtirpc3 1.3.2-2ubuntu0.1
libtk8.6 8.6.12-1build1
libtool 2.4.6-15build2
libtsan0 11.4.0-1ubuntu1~22.04
libtss2-esys-3.0.2-0 3.2.0-1ubuntu1.1
libtss2-mu0 3.2.0-1ubuntu1.1
libtss2-sys1 3.2.0-1ubuntu1.1
libtss2-tcti-cmd0 3.2.0-1ubuntu1.1
libtss2-tcti-device0 3.2.0-1ubuntu1.1
libtss2-tcti-mssim0 3.2.0-1ubuntu1.1
libtss2-tcti-swtpm0 3.2.0-1ubuntu1.1
libubsan1 12.3.0-1ubuntu1~22.04
libuchardet0 0.0.7-1build2
libudev1 249.11-0ubuntu3.12
libudisks2-0 2.9.4-1ubuntu2
libunistring2 1.0-1
libunwind8 1.3.2-2build2.1
liburcu8 0.13.1-1
liburi-perl 5.10-1
liburiparser1 0.9.6+dfsg-1
libusb-1.0-0 2:1.0.25-1ubuntu2
libutempter0 1.2.1-2build2
libutf8proc2 2.7.0-3
libuuid1 2.37.2-4ubuntu3.4
libuv1 1.43.0-1ubuntu0.1
libvolume-key1 0.3.12-3.1build3
libvpd-2.2-2 2.2.8-1ubuntu2
libwagon-file-java 3.3.4-1
libwagon-http-shaded-java 3.3.4-1
libwagon-provider-api-java 3.3.4-1
libwebp7 1.2.2-2ubuntu0.22.04.2
libwrap0 7.6.q-31build2
libx11-6 2:1.7.5-1ubuntu0.3
libx11-data 2:1.7.5-1ubuntu0.3
libx11-dev 2:1.7.5-1ubuntu0.3
libx265-199 3.5-2
libxau-dev 1:1.0.9-1build5
libxau6 1:1.0.9-1build5
libxcb1 1.14-3ubuntu3
libxcb1-dev 1.14-3ubuntu3
libxdmcp-dev 1:1.1.3-0ubuntu5
libxdmcp6 1:1.1.3-0ubuntu5
libxerces-c3.2 3.2.3+debian-3ubuntu0.1
libxext-dev 2:1.3.4-1build1
libxext6 2:1.3.4-1build1
libxft-dev 2.3.4-1
libxft2 2.3.4-1
libxi6 2:1.8-1build1
libxml2 2.9.13+dfsg-1ubuntu0.4
libxml2-dev 2.9.13+dfsg-1ubuntu0.4
libxmlb2 0.3.6-2build1
libxmuu1 2:1.1.3-3
libxpm-dev 1:3.5.12-1ubuntu0.22.04.2
libxpm4 1:3.5.12-1ubuntu0.22.04.2
libxrender-dev 1:0.9.10-1build4
libxrender1 1:0.9.10-1build4
libxslt1-dev 1.1.34-4ubuntu0.22.04.1
libxslt1.1 1.1.34-4ubuntu0.22.04.1
libxss-dev 1:1.2.3-1build2
libxss1 1:1.2.3-1build2
libxtables12 1.8.7-1ubuntu5.2
libxtst6 2:1.2.3-1build4
libxxhash0 0.8.1-1
libyaml-0-2 0.2.2-1build2
libyaml-dev 0.2.2-1build2
libzstd-dev 1.4.8+dfsg-3build1
libzstd1 1.4.8+dfsg-3build1
linux-base 4.5ubuntu9
linux-libc-dev 5.15.0-122.132
llvm 1:14.0-55~exp2
llvm-14 1:14.0.0-1ubuntu1.1
llvm-14-linker-tools 1:14.0.0-1ubuntu1.1
llvm-14-runtime 1:14.0.0-1ubuntu1.1
llvm-runtime 1:14.0-55~exp2
locales 2.35-0ubuntu3.8
login 1:4.8.1-2ubuntu2.2
logsave 1.46.5-2ubuntu1.2
lsb-base 11.1.0ubuntu4
lsb-release 11.1.0ubuntu4
lshw 02.19.git.2021.06.19.996aaad9c7-2build1
lsof 4.93.2+dfsg-1.1build2
lsvpd 1.7.13-1build1
lto-disabled-list 24
lua-bitop 1.0.2-5
lua-cjson 2.1.0+dfsg-2.1
lvm2 2.03.11-2.1ubuntu4
lxd-agent-loader 0.5
m4 1.4.18-5ubuntu2
make 4.3-4.1build1
man-db 2.10.2-1
manpages 5.10-1ubuntu1
maven 3.6.3-5
mawk 1.3.4.20200120-3
mdadm 4.2-0ubuntu2
mecab-ipadic 2.7.0-20070801+main-3
mecab-ipadic-utf8 2.7.0-20070801+main-3
mecab-utils 0.996-14build9
media-types 7.0.0
mercurial 6.1.1-1ubuntu1
mercurial-common 6.1.1-1ubuntu1
mlock 8:2007f~dfsg-7build1
